x,r,u,p,e
0.209766, 0.999993, 8.12314e-06, 0.99999, 2.49999
0.210547, 0.999992, 1.00304e-05, 0.999988, 2.49999
0.211328, 0.99999, 1.23521e-05, 0.999985, 2.49999
0.212109, 0.999987, 1.517e-05, 0.999982, 2.49999
0.212891, 0.999984, 1.85804e-05, 0.999978, 2.49998
0.213672, 0.999981, 2.26956e-05, 0.999973, 2.49998
0.214453, 0.999977, 2.76469e-05, 0.999967, 2.49998
0.215234, 0.999972, 3.35866e-05, 0.99996, 2.49997
0.216016, 0.999966, 4.06908e-05, 0.999952, 2.49997
0.216797, 0.999958, 4.91629e-05, 0.999942, 2.49996
0.217578, 0.99995, 5.92359e-05, 0.99993, 2.49995
0.218359, 0.99994, 7.11767e-05, 0.999916, 2.49994
0.219141, 0.999928, 8.52891e-05, 0.999899, 2.49993
0.219922, 0.999914, 0.000101918, 0.999879, 2.49991
0.220703, 0.999897, 0.000121453, 0.999856, 2.4999
0.221484, 0.999878, 0.000144332, 0.999829, 2.49988
0.222266, 0.999855, 0.000171047, 0.999798, 2.49986
0.223047, 0.999829, 0.000202144, 0.999761, 2.49983
0.223828, 0.999799, 0.000238234, 0.999718, 2.4998
0.224609, 0.999763, 0.000279989, 0.999669, 2.49976
0.225391, 0.999723, 0.00032815, 0.999612, 2.49972
0.226172, 0.999676, 0.000383528, 0.999546, 2.49968
0.226953, 0.999622, 0.000447011, 0.999471, 2.49962
0.227734, 0.999561, 0.000519559, 0.999385, 2.49956
0.228516, 0.999491, 0.000602212, 0.999288, 2.49949
0.229297, 0.999412, 0.000696087, 0.999177, 2.49941
0.230078, 0.999322, 0.00080238, 0.999051, 2.49932
0.230859, 0.999221, 0.000922362, 0.998909, 2.49922
0.231641, 0.999107, 0.00105738, 0.99875, 2.49911
0.232422, 0.998979, 0.00120886, 0.998571, 2.49898
0.233203, 0.998836, 0.00137828, 0.99837, 2.49884
0.233984, 0.998676, 0.0015672, 0.998147, 2.49868
0.234766, 0.998499, 0.00177722, 0.997899, 2.4985
0.235547, 0.998302, 0.00201, 0.997624, 2.4983
0.236328, 0.998085, 0.00226724, 0.99732, 2.49808
0.237109, 0.997846, 0.00255066, 0.996986, 2.49785
0.237891, 0.997583, 0.00286201, 0.996619, 2.49758
0.238672, 0.997296, 0.00320305, 0.996216, 2.49729
0.239453, 0.996982, 0.00357555, 0.995777, 2.49698
0.240234, 0.996639, 0.00398124, 0.995299, 2.49664
0.241016, 0.996268, 0.00442184, 0.99478, 2.49627
0.241797, 0.995866, 0.00489905, 0.994218, 2.49586
0.242578, 0.995432, 0.00541449, 0.993611, 2.49543
0.243359, 0.994964, 0.00596975, 0.992958, 2.49496
0.244141, 0.994462, 0.00656631, 0.992256, 2.49446
0.244922, 0.993924, 0.00720562, 0.991505, 2.49392
0.245703, 0.993349, 0.00788899, 0.990703, 2.49334
0.246484, 0.992737, 0.00861767, 0.989848, 2.49272
0.247266, 0.992085, 0.00939277, 0.988939, 2.49207
0.248047, 0.991395, 0.0102153, 0.987975, 2.49138
0.248828, 0.990664, 0.0110862, 0.986956, 2.49064
0.249609, 0.989892, 0.0120062, 0.98588, 2.48987
0.250391, 0.989079, 0.012976, 0.984747, 2.48905
0.251172, 0.988224, 0.013996, 0.983556, 2.48819
0.251953, 0.987328, 0.0150668, 0.982308, 2.48729
0.252734, 0.986389, 0.0161885, 0.981001, 2.48634
0.253516, 0.985409, 0.0173614, 0.979637, 2.48536
0.254297, 0.984386, 0.0185855, 0.978215, 2.48433
0.255078, 0.983322, 0.0198606, 0.976735, 2.48325
0.255859, 0.982216, 0.0211867, 0.975198, 2.48214
0.256641, 0.981069, 0.0225634, 0.973605, 2.48098
0.257422, 0.979881, 0.0239904, 0.971956, 2.47978
0.258203, 0.978653, 0.0254672, 0.970251, 2.47854
0.258984, 0.977385, 0.0269932, 0.968493, 2.47726
0.259766, 0.976078, 0.0285678, 0.966682, 2.47593
0.260547, 0.974733, 0.0301903, 0.964818, 2.47457
0.261328, 0.973351, 0.0318599, 0.962904, 2.47317
0.262109, 0.971931, 0.0335758, 0.96094, 2.47173
0.262891, 0.970476, 0.0353371, 0.958927, 2.47025
0.263672, 0.968986, 0.037143, 0.956868, 2.46874
0.264453, 0.967461, 0.0389924, 0.954762, 2.46718
0.265234, 0.965904, 0.0408845, 0.952613, 2.4656
0.266016, 0.964314, 0.0428181, 0.95042, 2.46398
0.266797, 0.962693, 0.0447922, 0.948186, 2.46232
0.267578, 0.961042, 0.0468059, 0.945911, 2.46064
0.268359, 0.959362, 0.0488581, 0.943598, 2.45892
0.269141, 0.957653, 0.0509477, 0.941248, 2.45717
0.269922, 0.955917, 0.0530737, 0.938862, 2.45539
0.270703, 0.954155, 0.055235, 0.936441, 2.45359
0.271484, 0.952368, 0.0574306, 0.933988, 2.45175
0.272266, 0.950556, 0.0596595, 0.931503, 2.44989
0.273047, 0.94872, 0.0619207, 0.928988, 2.448
0.273828, 0.946863, 0.0642131, 0.926444, 2.44609
0.274609, 0.944983, 0.0665357, 0.923873, 2.44415
0.275391, 0.943083, 0.0688877, 0.921275, 2.44219
0.276172, 0.941163, 0.071268, 0.918653, 2.44021
0.276953, 0.939224, 0.0736757, 0.916007, 2.4382
0.277734, 0.937268, 0.0761099, 0.913338, 2.43617
0.278516, 0.935293, 0.0785697, 0.910648, 2.43412
0.279297, 0.933303, 0.0810543, 0.907938, 2.43206
0.280078, 0.931296, 0.0835628, 0.905209, 2.42997
0.280859, 0.929275, 0.0860944, 0.902461, 2.42786
0.281641, 0.927239, 0.0886484, 0.899697, 2.42574
0.282422, 0.92519, 0.0912238, 0.896917, 2.4236
0.283203, 0.923127, 0.0938201, 0.894122, 2.42145
0.283984, 0.921053, 0.0964365, 0.891312, 2.41928
0.284766, 0.918967, 0.0990723, 0.88849, 2.41709
0.285547, 0.91687, 0.101727, 0.885655, 2.41489
0.286328, 0.914762, 0.104399, 0.882809, 2.41267
0.287109, 0.912645, 0.107089, 0.879952, 2.41045
0.287891, 0.910518, 0.109796, 0.877085, 2.4082
0.288672, 0.908383, 0.112519, 0.874209, 2.40595
0.289453, 0.906239, 0.115258, 0.871325, 2.40368
0.290234, 0.904087, 0.118012, 0.868433, 2.40141
0.291016, 0.901928, 0.120781, 0.865534, 2.39912
0.291797, 0.899763, 0.123563, 0.862628, 2.39682
0.292578, 0.897591, 0.12636, 0.859717, 2.39451
0.293359, 0.895412, 0.129169, 0.8568, 2.39219
0.294141, 0.893229, 0.131991, 0.853879, 2.38987
0.294922, 0.89104, 0.134826, 0.850954, 2.38753
0.295703, 0.888846, 0.137672, 0.848025, 2.38519
0.296484, 0.886648, 0.14053, 0.845093, 2.38283
0.297266, 0.884445, 0.143399, 0.842158, 2.38047
0.298047, 0.882239, 0.146279, 0.839221, 2.3781
0.298828, 0.880029, 0.149169, 0.836283, 2.37573
0.299609, 0.877816, 0.152069, 0.833343, 2.37334
0.300391, 0.8756, 0.154978, 0.830402, 2.37095
0.301172, 0.873381, 0.157897, 0.827461, 2.36856
0.301953, 0.87116, 0.160825, 0.824519, 2.36615
0.302734, 0.868937, 0.163762, 0.821578, 2.36374
0.303516, 0.866712, 0.166708, 0.818637, 2.36133
0.304297, 0.864486, 0.169661, 0.815698, 2.35891
0.305078, 0.862258, 0.172623, 0.812759, 2.35648
0.305859, 0.860029, 0.175592, 0.809822, 2.35405
0.306641, 0.857799, 0.178569, 0.806886, 2.35162
0.307422, 0.855568, 0.181553, 0.803953, 2.34918
0.308203, 0.853336, 0.184543, 0.801022, 2.34674
0.308984, 0.851104, 0.187541, 0.798093, 2.34429
0.309766, 0.848872, 0.190545, 0.795167, 2.34183
0.310547, 0.84664, 0.193556, 0.792245, 2.33938
0.311328, 0.844408, 0.196573, 0.789325, 2.33692
0.312109, 0.842177, 0.199596, 0.786409, 2.33445
0.312891, 0.839945, 0.202624, 0.783497, 2.33199
0.313672, 0.837715, 0.205659, 0.780588, 2.32952
0.314453, 0.835485, 0.208698, 0.777684, 2.32704
